,item_type,supplier,time_interval,units_to_order,expected_units_recieved
0,1,1,1,86,0
1,1,1,2,86,17
2,1,1,3,86,24
3,1,1,4,86,29
4,1,1,5,86,35
5,1,1,6,86,41
6,1,1,7,86,47
7,1,1,8,86,55
8,1,1,9,0,86
9,1,1,10,0,70
10,1,2,1,1814400,0
11,1,2,2,1814400,0
12,1,2,3,1814400,70455
13,1,2,4,1814400,282469
14,1,2,5,0,693161
15,1,2,6,0,1814400
16,1,2,7,1814400,1743945
17,1,2,8,0,1531931
18,1,2,9,0,1191695
19,1,2,10,0,212014
20,1,3,1,24689,0
21,1,3,2,24689,0
22,1,3,3,24689,9894
23,1,3,4,0,11379
24,1,3,5,0,12401
25,1,3,6,24689,3332
26,1,3,7,24689,2569
27,1,3,8,0,12103
28,1,3,9,0,13393
29,1,3,10,0,4421
30,1,4,1,0,0
31,1,4,2,0,0
32,1,4,3,0,0
33,1,4,4,0,0
34,1,4,5,0,0
35,1,4,6,0,0
36,1,4,7,0,0
37,1,4,8,0,0
38,1,4,9,0,0
39,1,4,10,0,0
40,1,5,1,0,0
41,1,5,2,0,0
42,1,5,3,0,0
43,1,5,4,0,0
44,1,5,5,0,0
45,1,5,6,0,0
46,1,5,7,0,0
47,1,5,8,0,0
48,1,5,9,0,0
49,1,5,10,0,0
50,1,6,1,0,0
51,1,6,2,0,0
52,1,6,3,0,0
53,1,6,4,0,0
54,1,6,5,0,0
55,1,6,6,0,0
56,1,6,7,0,0
57,1,6,8,0,0
58,1,6,9,0,0
59,1,6,10,0,0
60,1,7,1,0,0
61,1,7,2,0,0
62,1,7,3,0,0
63,1,7,4,0,0
64,1,7,5,0,0
65,1,7,6,0,0
66,1,7,7,0,0
67,1,7,8,0,0
68,1,7,9,0,0
69,1,7,10,0,0
70,1,8,1,0,0
71,1,8,2,0,0
72,1,8,3,0,0
73,1,8,4,0,0
74,1,8,5,0,0
75,1,8,6,0,0
76,1,8,7,0,0
77,1,8,8,0,0
78,1,8,9,0,0
79,1,8,10,0,0
80,1,9,1,0,0
81,1,9,2,0,0
82,1,9,3,0,0
83,1,9,4,0,0
84,1,9,5,0,0
85,1,9,6,0,0
86,1,9,7,0,0
87,1,9,8,0,0
88,1,9,9,0,0
89,1,9,10,0,0
90,1,10,1,0,0
91,1,10,2,0,0
92,1,10,3,0,0
93,1,10,4,0,0
94,1,10,5,0,0
95,1,10,6,0,0
96,1,10,7,0,0
97,1,10,8,0,0
98,1,10,9,0,0
99,1,10,10,0,0
100,1,12,1,0,0
101,1,12,2,0,0
102,1,12,3,0,0
103,1,12,4,0,0
104,1,12,5,0,0
105,1,12,6,0,0
106,1,12,7,0,0
107,1,12,8,0,0
108,1,12,9,0,0
109,1,12,10,0,0
110,1,15,1,0,0
111,1,15,2,0,0
112,1,15,3,0,0
113,1,15,4,0,0
114,1,15,5,0,0
115,1,15,6,0,0
116,1,15,7,0,0
117,1,15,8,0,0
118,1,15,9,0,0
119,1,15,10,0,0
120,1,17,1,0,0
121,1,17,2,0,0
122,1,17,3,0,0
123,1,17,4,0,0
124,1,17,5,0,0
125,1,17,6,0,0
126,1,17,7,0,0
127,1,17,8,0,0
128,1,17,9,0,0
129,1,17,10,0,0
130,2,1,1,0,0
131,2,1,2,0,0
132,2,1,3,0,0
133,2,1,4,0,0
134,2,1,5,0,0
135,2,1,6,0,0
136,2,1,7,0,0
137,2,1,8,0,0
138,2,1,9,0,0
139,2,1,10,0,0
140,2,2,1,0,0
141,2,2,2,0,0
142,2,2,3,0,0
143,2,2,4,0,0
144,2,2,5,0,0
145,2,2,6,0,0
146,2,2,7,0,0
147,2,2,8,0,0
148,2,2,9,0,0
149,2,2,10,0,0
150,2,3,1,0,0
151,2,3,2,0,0
152,2,3,3,0,0
153,2,3,4,0,0
154,2,3,5,0,0
155,2,3,6,0,0
156,2,3,7,0,0
157,2,3,8,0,0
158,2,3,9,0,0
159,2,3,10,0,0
160,2,4,1,0,0
161,2,4,2,0,0
162,2,4,3,0,0
163,2,4,4,0,0
164,2,4,5,0,0
165,2,4,6,0,0
166,2,4,7,0,0
167,2,4,8,0,0
168,2,4,9,0,0
169,2,4,10,0,0
170,2,5,1,202950,0
171,2,5,2,202950,202950
172,2,5,3,202950,202950
173,2,5,4,202950,202950
174,2,5,5,202950,202950
175,2,5,6,202950,202950
176,2,5,7,202950,202950
177,2,5,8,202950,202950
178,2,5,9,0,202950
179,2,5,10,0,0
180,2,6,1,0,0
181,2,6,2,0,0
182,2,6,3,0,0
183,2,6,4,0,0
184,2,6,5,0,0
185,2,6,6,0,0
186,2,6,7,0,0
187,2,6,8,0,0
188,2,6,9,0,0
189,2,6,10,0,0
190,2,7,1,0,0
191,2,7,2,0,0
192,2,7,3,0,0
193,2,7,4,0,0
194,2,7,5,0,0
195,2,7,6,0,0
196,2,7,7,0,0
197,2,7,8,0,0
198,2,7,9,0,0
199,2,7,10,0,0
200,2,8,1,0,0
201,2,8,2,0,0
202,2,8,3,0,0
203,2,8,4,0,0
204,2,8,5,0,0
205,2,8,6,0,0
206,2,8,7,0,0
207,2,8,8,0,0
208,2,8,9,0,0
209,2,8,10,0,0
210,2,9,1,0,0
211,2,9,2,0,0
212,2,9,3,0,0
213,2,9,4,0,0
214,2,9,5,0,0
215,2,9,6,0,0
216,2,9,7,0,0
217,2,9,8,0,0
218,2,9,9,0,0
219,2,9,10,0,0
220,2,10,1,0,0
221,2,10,2,0,0
222,2,10,3,0,0
223,2,10,4,0,0
224,2,10,5,0,0
225,2,10,6,0,0
226,2,10,7,0,0
227,2,10,8,0,0
228,2,10,9,0,0
229,2,10,10,0,0
230,2,12,1,0,0
231,2,12,2,0,0
232,2,12,3,0,0
233,2,12,4,0,0
234,2,12,5,0,0
235,2,12,6,0,0
236,2,12,7,0,0
237,2,12,8,0,0
238,2,12,9,0,0
239,2,12,10,0,0
240,2,15,1,0,0
241,2,15,2,0,0
242,2,15,3,0,0
243,2,15,4,0,0
244,2,15,5,0,0
245,2,15,6,0,0
246,2,15,7,0,0
247,2,15,8,0,0
248,2,15,9,0,0
249,2,15,10,0,0
250,2,17,1,0,0
251,2,17,2,0,0
252,2,17,3,0,0
253,2,17,4,0,0
254,2,17,5,0,0
255,2,17,6,0,0
256,2,17,7,0,0
257,2,17,8,0,0
258,2,17,9,0,0
259,2,17,10,0,0
260,3,1,1,0,0
261,3,1,2,0,0
262,3,1,3,0,0
263,3,1,4,0,0
264,3,1,5,0,0
265,3,1,6,0,0
266,3,1,7,0,0
267,3,1,8,0,0
268,3,1,9,0,0
269,3,1,10,0,0
270,3,2,1,0,0
271,3,2,2,0,0
272,3,2,3,0,0
273,3,2,4,0,0
274,3,2,5,0,0
275,3,2,6,0,0
276,3,2,7,0,0
277,3,2,8,0,0
278,3,2,9,0,0
279,3,2,10,0,0
280,3,3,1,0,0
281,3,3,2,0,0
282,3,3,3,0,0
283,3,3,4,0,0
284,3,3,5,0,0
285,3,3,6,0,0
286,3,3,7,0,0
287,3,3,8,0,0
288,3,3,9,0,0
289,3,3,10,0,0
290,3,4,1,0,0
291,3,4,2,0,0
292,3,4,3,0,0
293,3,4,4,0,0
294,3,4,5,0,0
295,3,4,6,0,0
296,3,4,7,0,0
297,3,4,8,0,0
298,3,4,9,0,0
299,3,4,10,0,0
300,3,5,1,0,0
301,3,5,2,0,0
302,3,5,3,0,0
303,3,5,4,0,0
304,3,5,5,0,0
305,3,5,6,0,0
306,3,5,7,0,0
307,3,5,8,0,0
308,3,5,9,0,0
309,3,5,10,0,0
310,3,6,1,14400,0
311,3,6,2,14400,0
312,3,6,3,14400,601
313,3,6,4,14400,14400
314,3,6,5,14400,14400
315,3,6,6,14400,14400
316,3,6,7,14400,14400
317,3,6,8,0,14400
318,3,6,9,0,14400
319,3,6,10,0,13799
320,3,7,1,0,0
321,3,7,2,0,0
322,3,7,3,0,0
323,3,7,4,0,0
324,3,7,5,0,0
325,3,7,6,0,0
326,3,7,7,0,0
327,3,7,8,0,0
328,3,7,9,0,0
329,3,7,10,0,0
330,3,8,1,1080,0
331,3,8,2,1080,900
332,3,8,3,1080,908
