unique_id,time_interval,units_fulfilled,incoming_demand,variable,value,delay
0.0,1.0,17500.0,17500.0,1,17500.0,0.0
0.0,2.0,17500.0,19250.0,1,0.0,1.0
0.0,3.0,10750.0,21000.0,1,0.0,2.0
0.0,4.0,13250.0,35000.0,1,0.0,3.0
0.0,5.0,0.0,38500.0,1,0.0,4.0
0.0,6.0,0.0,52500.0,1,0.0,5.0
0.0,7.0,0.0,56000.0,1,0.0,6.0
0.0,8.0,0.0,42000.0,1,0.0,7.0
0.0,9.0,0.0,38500.0,1,0.0,8.0
0.0,10.0,0.0,29750.0,1,0.0,9.0
0.0,11.0,0.0,28000.0,1,0.0,10.0
0.0,12.0,0.0,28000.0,1,0.0,11.0
1.0,1.0,17500.0,17500.0,1,17500.0,0.0
1.0,2.0,17500.0,19250.0,1,0.0,1.0
1.0,3.0,22750.0,21000.0,1,0.0,2.0
1.0,4.0,26500.0,35000.0,1,0.0,3.0
1.0,5.0,13750.0,38500.0,1,0.0,4.0
1.0,6.0,0.0,52500.0,1,0.0,5.0
1.0,7.0,0.0,56000.0,1,0.0,6.0
1.0,8.0,0.0,42000.0,1,0.0,7.0
1.0,9.0,0.0,38500.0,1,0.0,8.0
1.0,10.0,0.0,29750.0,1,0.0,9.0
1.0,11.0,0.0,28000.0,1,0.0,10.0
1.0,12.0,0.0,28000.0,1,0.0,11.0
2.0,1.0,17500.0,17500.0,1,17500.0,0.0
2.0,2.0,17500.0,19250.0,1,0.0,1.0
2.0,3.0,22750.0,21000.0,1,0.0,2.0
2.0,4.0,35000.0,35000.0,1,0.0,3.0
2.0,5.0,30000.0,38500.0,1,0.0,4.0
2.0,6.0,14250.0,52500.0,1,0.0,5.0
2.0,7.0,0.0,56000.0,1,0.0,6.0
2.0,8.0,0.0,42000.0,1,0.0,7.0
2.0,9.0,0.0,38500.0,1,0.0,8.0
2.0,10.0,0.0,29750.0,1,0.0,9.0
2.0,11.0,0.0,28000.0,1,0.0,10.0
2.0,12.0,0.0,28000.0,1,0.0,11.0
3.0,1.0,17500.0,17500.0,1,17500.0,0.0
3.0,2.0,17500.0,19250.0,1,0.0,1.0
3.0,3.0,22750.0,21000.0,1,0.0,2.0
3.0,4.0,35000.0,35000.0,1,0.0,3.0
3.0,5.0,38500.0,38500.0,1,0.0,4.0
3.0,6.0,28000.0,52500.0,1,0.0,5.0
3.0,7.0,12750.0,56000.0,1,0.0,6.0
3.0,8.0,0.0,42000.0,1,0.0,7.0
3.0,9.0,0.0,38500.0,1,0.0,8.0
3.0,10.0,0.0,29750.0,1,0.0,9.0
3.0,11.0,0.0,28000.0,1,0.0,10.0
3.0,12.0,0.0,28000.0,1,0.0,11.0
4.0,1.0,17500.0,17500.0,1,17500.0,0.0
4.0,2.0,17500.0,19250.0,1,0.0,1.0
4.0,3.0,22750.0,21000.0,1,0.0,2.0
4.0,4.0,35000.0,35000.0,1,0.0,3.0
4.0,5.0,38500.0,38500.0,1,0.0,4.0
4.0,6.0,52500.0,52500.0,1,0.0,5.0
4.0,7.0,16583.33333333333,56000.0,1,0.0,6.0
4.0,8.0,0.0,42000.0,1,0.0,7.0
4.0,9.0,0.0,38500.0,1,0.0,8.0
4.0,10.0,0.0,29750.0,1,0.0,9.0
4.0,11.0,0.0,28000.0,1,0.0,10.0
4.0,12.0,0.0,28000.0,1,0.0,11.0
5.0,1.0,17500.0,17500.0,1,17500.0,0.0
5.0,2.0,17500.0,19250.0,1,0.0,1.0
5.0,3.0,22750.0,21000.0,1,0.0,2.0
5.0,4.0,35000.0,35000.0,1,0.0,3.0
5.0,5.0,38500.0,38500.0,1,0.0,4.0
5.0,6.0,52500.0,52500.0,1,0.0,5.0
5.0,7.0,33833.33333333333,56000.0,1,0.0,6.0
5.0,8.0,12750.0,42000.0,1,0.0,7.0
5.0,9.0,0.0,38500.0,1,0.0,8.0
5.0,10.0,0.0,29750.0,1,0.0,9.0
5.0,11.0,0.0,28000.0,1,0.0,10.0
5.0,12.0,0.0,28000.0,1,0.0,11.0
6.0,1.0,17500.0,17500.0,1,17500.0,0.0
6.0,2.0,17500.0,19250.0,1,0.0,1.0
6.0,3.0,22750.0,21000.0,1,0.0,2.0
6.0,4.0,35000.0,35000.0,1,0.0,3.0
6.0,5.0,38500.0,38500.0,1,0.0,4.0
6.0,6.0,52500.0,52500.0,1,0.0,5.0
6.0,7.0,56000.0,56000.0,1,0.0,6.0
6.0,8.0,12916.666666666668,42000.0,1,0.0,7.0
6.0,9.0,0.0,38500.0,1,0.0,8.0
6.0,10.0,0.0,29750.0,1,0.0,9.0
6.0,11.0,0.0,28000.0,1,0.0,10.0
6.0,12.0,0.0,28000.0,1,0.0,11.0
7.0,1.0,17500.0,17500.0,1,17500.0,0.0
7.0,2.0,17500.0,19250.0,1,0.0,1.0
7.0,3.0,22750.0,21000.0,1,0.0,2.0
7.0,4.0,35000.0,35000.0,1,0.0,3.0
7.0,5.0,38500.0,38500.0,1,0.0,4.0
7.0,6.0,52500.0,52500.0,1,0.0,5.0
7.0,7.0,56000.0,56000.0,1,0.0,6.0
7.0,8.0,33166.66666666667,42000.0,1,0.0,7.0
7.0,9.0,12750.0,38500.0,1,0.0,8.0
7.0,10.0,0.0,29750.0,1,0.0,9.0
7.0,11.0,0.0,28000.0,1,0.0,10.0
7.0,12.0,0.0,28000.0,1,0.0,11.0
8.0,1.0,17500.0,17500.0,1,17500.0,0.0
8.0,2.0,17500.0,19250.0,1,0.0,1.0
8.0,3.0,22750.0,21000.0,1,0.0,2.0
8.0,4.0,35000.0,35000.0,1,0.0,3.0
8.0,5.0,38500.0,38500.0,1,0.0,4.0
8.0,6.0,52500.0,52500.0,1,0.0,5.0
8.0,7.0,56000.0,56000.0,1,0.0,6.0
8.0,8.0,42000.0,42000.0,1,0.0,7.0
8.0,9.0,20250.0,38500.0,1,0.0,8.0
8.0,10.0,0.0,29750.0,1,0.0,9.0
8.0,11.0,0.0,28000.0,1,0.0,10.0
8.0,12.0,0.0,28000.0,1,0.0,11.0
9.0,1.0,17500.0,17500.0,1,17500.0,0.0
9.0,2.0,17500.0,19250.0,1,0.0,1.0
9.0,3.0,22750.0,21000.0,1,0.0,2.0
9.0,4.0,35000.0,35000.0,1,0.0,3.0
9.0,5.0,38500.0,38500.0,1,0.0,4.0
9.0,6.0,52500.0,52500.0,1,0.0,5.0
9.0,7.0,56000.0,56000.0,1,0.0,6.0
9.0,8.0,42000.0,42000.0,1,0.0,7.0
9.0,9.0,38500.0,38500.0,1,0.0,8.0
9.0,10.0,12750.0,29750.0,1,0.0,9.0
9.0,11.0,0.0,28000.0,1,0.0,10.0
9.0,12.0,0.0,28000.0,1,0.0,11.0
10.0,1.0,17500.0,17500.0,1,17500.0,0.0
10.0,2.0,17500.0,19250.0,1,0.0,1.0
10.0,3.0,22750.0,21000.0,1,0.0,2.0
10.0,4.0,35000.0,35000.0,1,0.0,3.0
10.0,5.0,38500.0,38500.0,1,0.0,4.0
10.0,6.0,52500.0,52500.0,1,0.0,5.0
10.0,7.0,56000.0,56000.0,1,0.0,6.0
10.0,8.0,42000.0,42000.0,1,0.0,7.0
10.0,9.0,38500.0,38500.0,1,0.0,8.0
10.0,10.0,29750.000000000022,29750.0,1,0.0,9.0
10.0,11.0,12750.0,28000.0,1,0.0,10.0
10.0,12.0,0.0,28000.0,1,0.0,11.0
11.0,1.0,17500.0,17500.0,1,17500.0,0.0
11.0,2.0,17500.0,19250.0,1,0.0,1.0
11.0,3.0,22750.0,21000.0,1,0.0,2.0
11.0,4.0,35000.0,35000.0,1,0.0,3.0
11.0,5.0,38500.0,38500.0,1,0.0,4.0
11.0,6.0,52500.0,52500.0,1,0.0,5.0
11.0,7.0,56000.0,56000.0,1,0.0,6.0
11.0,8.0,42000.0,42000.0,1,0.0,7.0
11.0,9.0,38500.0,38500.0,1,0.0,8.0
11.0,10.0,29750.0,29750.0,1,0.0,9.0
11.0,11.0,28000.0,28000.0,1,0.0,10.0
11.0,12.0,12750.0,28000.0,1,0.0,11.0
12.0,1.0,17500.0,17500.0,1,17500.0,0.0
12.0,2.0,17500.0,19250.0,1,0.0,1.0
12.0,3.0,22750.0,21000.0,1,0.0,2.0
12.0,4.0,35000.0,35000.0,1,0.0,3.0
12.0,5.0,38500.0,38500.0,1,0.0,4.0
12.0,6.0,52500.0,52500.0,1,0.0,5.0
12.0,7.0,56000.0,56000.0,1,0.0,6.0
12.0,8.0,42000.0,42000.0,1,0.0,7.0
12.0,9.0,38500.0,38500.0,1,0.0,8.0
12.0,10.0,29750.0,29750.0,1,0.0,9.0
12.0,11.0,28000.0,28000.0,1,0.0,10.0
12.0,12.0,28000.0,28000.0,1,0.0,11.0
13.0,1.0,17500.0,17500.0,1,17500.0,0.0
13.0,2.0,17500.0,19250.0,1,0.0,1.0
13.0,3.0,22750.0,21000.0,1,0.0,2.0
13.0,4.0,35000.0,35000.0,1,0.0,3.0
13.0,5.0,38500.0,38500.0,1,0.0,4.0
13.0,6.0,52500.0,52500.0,1,0.0,5.0
13.0,7.0,56000.0,56000.0,1,0.0,6.0
13.0,8.0,42000.0,42000.0,1,0.0,7.0
13.0,9.0,38500.0,38500.0,1,0.0,8.0
13.0,10.0,29750.0,29750.0,1,0.0,9.0
13.0,11.0,28000.0,28000.0,1,0.0,10.0
13.0,12.0,28000.0,28000.0,1,0.0,11.0
14.0,1.0,17500.0,17500.0,1,17500.0,0.0
14.0,2.0,17500.0,19250.0,1,0.0,1.0
14.0,3.0,22750.0,21000.0,1,0.0,2.0
14.0,4.0,35000.0,35000.0,1,0.0,3.0
14.0,5.0,38500.0,38500.0,1,0.0,4.0
14.0,6.0,52500.0,52500.0,1,0.0,5.0
14.0,7.0,56000.0,56000.0,1,0.0,6.0
14.0,8.0,42000.0,42000.0,1,0.0,7.0
14.0,9.0,38500.0,38500.0,1,0.0,8.0
14.0,10.0,29750.0,29750.0,1,0.0,9.0
14.0,11.0,28000.00000000001,28000.0,1,0.0,10.0
14.0,12.0,27999.999999999993,28000.0,1,0.0,11.0
15.0,1.0,17500.0,17500.0,1,17500.0,0.0
15.0,2.0,17500.0,19250.0,1,0.0,1.0
15.0,3.0,22750.0,21000.0,1,0.0,2.0
15.0,4.0,35000.0,35000.0,1,0.0,3.0
15.0,5.0,38500.0,38500.0,1,0.0,4.0
15.0,6.0,52500.0,52500.0,1,0.0,5.0
