item_type,time_interval,reliability_level,budget,units_fulfilled,unique_id,cum_units_fulfilled,incoming_demand,cum_demand,1,2,3,4,5,6,7,8,9,10,11,12
1,1,0.5,100000,17500,0,17500,17500,17500,17500,3418.86117,0,0,0,0,0,0,0,0,0,0
1,2,0.5,100000,17500,0,35000,19250,36750,0,14081.13883,8929.608457,0,0,0,0,0,0,0,0,0
1,3,0.5,100000,10750,0,45750,21000,57750,0,0,1820.391543,13250,0,0,0,0,0,0,0,0
1,4,0.5,100000,13250,0,59000,35000,92750,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.5,100000,0,0,59000,38500,131250,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0.5,100000,0,0,59000,52500,183750,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0.5,100000,0,0,59000,56000,239750,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0.5,100000,0,0,59000,42000,281750,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0.5,100000,0,0,59000,38500,320250,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0.5,100000,0,0,59000,29750,350000,0,0,0,0,0,0,0,0,0,0,0,0
1,11,0.5,100000,0,0,59000,28000,378000,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0.5,100000,0,0,59000,28000,406000,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.5,200000,17500,1,17500,17500,17500,17500,3418.86117,0,0,0,0,0,0,0,0,0,0
1,2,0.5,200000,17500,1,35000,19250,36750,0,14081.13883,8929.608457,0,0,0,0,0,0,0,0,0
1,3,0.5,200000,22750,1,57750,21000,57750,0,0,13820.39154,11282.24186,0,0,0,0,0,0,0,0
1,4,0.5,200000,26500,1,84250,35000,92750,0,0,0,15217.75814,13750,0,0,0,0,0,0,0
1,5,0.5,200000,13750,1,98000,38500,131250,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0.5,200000,0,1,98000,52500,183750,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0.5,200000,0,1,98000,56000,239750,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0.5,200000,0,1,98000,42000,281750,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0.5,200000,0,1,98000,38500,320250,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0.5,200000,0,1,98000,29750,350000,0,0,0,0,0,0,0,0,0,0,0,0
1,11,0.5,200000,0,1,98000,28000,378000,0,0,0,0,0,0,0,0,0,0,0,0
