,item_type,supplier,time_interval,units_to_order,expected_units_recieved
0,1,1,1,13590,0
1,1,1,2,11163,0
2,1,1,3,9707,0
3,1,1,4,8736,4530
4,1,1,5,4854,10516
5,1,1,6,3883,11082
6,1,1,7,0,9626
7,1,1,8,0,7604
8,1,1,9,0,5177
9,1,1,10,0,2750
10,1,2,1,18950,0
11,1,2,2,15566,6317
12,1,2,3,13536,14663
13,1,2,4,12182,15453
14,1,2,5,6768,13423
15,1,2,6,5414,10603
16,1,2,7,10828,7219
17,1,2,8,12182,7445
18,1,2,9,0,10377
19,1,2,10,0,7896
20,1,3,1,21904,0
21,1,3,2,17993,0
22,1,3,3,15646,0
23,1,3,4,14081,7301
24,1,3,5,7823,16950
25,1,3,6,6258,17862
26,1,3,7,0,15515
27,1,3,8,0,12256
28,1,3,9,0,8344
29,1,3,10,0,4433
30,1,4,1,94249,52360
31,1,4,2,77419,74427
32,1,4,3,67321,73679
33,1,4,4,60588,64702
34,1,4,5,33660,46376
35,1,4,6,26928,32912
36,1,4,7,53856,42636
37,1,4,8,0,20944
38,1,4,9,918,6494
39,1,4,10,0,306
