,sets,units_to_order,item_type,supplier,time_interval
0,"(1, 1, 1)",13589.949493661165,1,1,1
1,"(1, 1, 2)",11163.172798364529,1,1,2
2,"(1, 1, 3)",9707.106781186547,1,1,3
3,"(1, 1, 4)",8736.396103067891,1,1,4
4,"(1, 1, 5)",4853.553390593273,1,1,5
5,"(1, 1, 6)",3882.842712474618,1,1,6
6,"(1, 1, 7)",0.0,1,1,7
7,"(1, 1, 8)",0.0,1,1,8
8,"(1, 1, 9)",0.0,1,1,9
9,"(1, 1, 10)",0.0,1,1,10
10,"(1, 2, 1)",18949.74746830583,1,2,1
11,"(1, 2, 2)",15565.863991822647,1,2,2
12,"(1, 2, 3)",13535.533905932738,1,2,3
13,"(1, 2, 4)",12181.980515339463,1,2,4
14,"(1, 2, 5)",6767.766952966369,1,2,5
15,"(1, 2, 6)",5414.213562373094,1,2,6
16,"(1, 2, 7)",10828.427124746191,1,2,7
17,"(1, 2, 8)",12181.980515339463,1,2,8
18,"(1, 2, 9)",0.0,1,2,9
19,"(1, 2, 10)",0.0,1,2,10
20,"(1, 3, 1)",21904.051835490427,1,3,1
21,"(1, 3, 2)",17992.614007724278,1,3,2
22,"(1, 3, 3)",15645.75131106459,1,3,3
23,"(1, 3, 4)",14081.17617995813,1,3,4
24,"(1, 3, 5)",7822.875655532295,1,3,5
25,"(1, 3, 6)",6258.300524425835,1,3,6
26,"(1, 3, 7)",0.0,1,3,7
27,"(1, 3, 8)",0.0,1,3,8
28,"(1, 3, 9)",0.0,1,3,9
29,"(1, 3, 10)",0.0,1,3,10
30,"(1, 4, 1)",94248.71130596429,1,4,1
31,"(1, 4, 2)",77418.58428704209,1,4,2
32,"(1, 4, 3)",67320.50807568878,1,4,3
33,"(1, 4, 4)",60588.45726811989,1,4,4
34,"(1, 4, 5)",33660.25403784439,1,4,5
35,"(1, 4, 6)",26928.203230275503,1,4,6
36,"(1, 4, 7)",53856.40646055102,1,4,7
37,"(1, 4, 8)",0.0,1,4,8
38,"(1, 4, 9)",918.0868990119047,1,4,9
39,"(1, 4, 10)",0.0,1,4,10
