,sets,expected_units_recieved,item_type,supplier,time_interval
0,"(1, 1, 1)",0.0,1,1,1
1,"(1, 1, 2)",0.0,1,1,2
2,"(1, 1, 3)",0.0,1,1,3
3,"(1, 1, 4)",4529.9831645537215,1,1,4
4,"(1, 1, 5)",10516.032346285425,1,1,5
5,"(1, 1, 6)",11082.28024185464,1,1,6
6,"(1, 1, 7)",9626.214224676658,1,1,7
7,"(1, 1, 8)",7603.900311929461,1,1,8
8,"(1, 1, 9)",5177.123616632824,1,1,9
9,"(1, 1, 10)",2750.3469213361877,1,1,10
10,"(1, 2, 1)",0.0,1,2,1
11,"(1, 2, 2)",6316.582489435277,1,2,2
12,"(1, 2, 3)",14663.495064760464,1,2,3
13,"(1, 2, 4)",15453.067875939872,1,2,4
14,"(1, 2, 5)",13422.737790049963,1,2,5
15,"(1, 2, 6)",10602.834892980642,1,2,6
16,"(1, 2, 7)",7218.951416497459,1,2,7
17,"(1, 2, 8)",7444.543648263005,1,2,8
18,"(1, 2, 9)",10377.242661215098,1,2,9
19,"(1, 2, 10)",7895.728111794097,1,2,10
20,"(1, 3, 1)",0.0,1,3,1
21,"(1, 3, 2)",0.0,1,3,2
22,"(1, 3, 3)",0.0,1,3,3
23,"(1, 3, 4)",7301.350611830142,1,3,4
24,"(1, 3, 5)",16949.56392031997,1,3,5
25,"(1, 3, 6)",17862.23274679874,1,3,6
26,"(1, 3, 7)",15515.370050139052,1,3,7
27,"(1, 3, 8)",12255.838527000595,1,3,8
28,"(1, 3, 9)",8344.400699234448,1,3,9
29,"(1, 3, 10)",4432.962871468299,1,3,10
30,"(1, 4, 1)",52360.39516998016,1,4,1
31,"(1, 4, 2)",74426.56170590036,1,4,2
32,"(1, 4, 3)",73678.55606061494,1,4,3
33,"(1, 4, 4)",64702.48831718977,1,4,4
34,"(1, 4, 5)",46376.35000769671,1,4,5
35,"(1, 4, 6)",32912.248392558955,1,4,6
36,"(1, 4, 7)",42636.32178126956,1,4,7
37,"(1, 4, 8)",20944.15806799206,1,4,8
38,"(1, 4, 9)",6494.093439512286,1,4,9
39,"(1, 4, 10)",306.0289663373015,1,4,10
