,item_type,supplier,time_interval,units_to_order,expected_units_recieved
0,1,1,1,16000,2000
1,1,1,2,16000,2000
2,1,1,3,16000,2000
3,1,1,4,3600,4800
4,1,1,5,0,9600
5,1,1,6,0,12800
6,1,1,7,0,12280
7,1,1,8,0,7480
8,1,1,9,0,3920
9,1,1,10,0,720
10,1,2,1,8000,2000
11,1,2,2,0,2000
12,1,2,3,0,2000
13,1,2,4,0,2400
14,1,2,5,0,2400
15,1,2,6,0,1600
16,1,2,7,0,1600
17,1,2,8,0,0
18,1,2,9,0,0
19,1,2,10,0,0
20,1,3,1,8000,2000
21,1,3,2,8000,4400
22,1,3,3,8000,6000
23,1,3,4,0,5600
24,1,3,5,0,3200
25,1,3,6,0,1600
26,1,3,7,0,0
27,1,3,8,0,0
28,1,3,9,0,0
29,1,3,10,0,0
30,1,4,1,8000,2000
31,1,4,2,0,2000
32,1,4,3,0,2000
33,1,4,4,0,2400
34,1,4,5,0,2400
35,1,4,6,0,1600
36,1,4,7,0,1600
37,1,4,8,0,0
38,1,4,9,0,0
39,1,4,10,0,0
